x,y,w,h,Distance Bottom,Distance Top,area,Target Class
42,0,8,73,29.0,29.0,207.5,LD
0,0,9,51,51.0,51.0,209.5,LD
262,93,33,47,45.0,48.0,675.0,LD
270,92,64,99,96.0,4.0,1900.0,LD
68,69,24,45,19.0,50.0,386.0,LD
161,65,40,58,28.0,37.0,609.5,LD
192,62,34,75,42.0,20.0,581.5,LD
112,52,37,73,30.0,22.0,1038.5,LD
56,47,8,74,26.0,21.0,207.5,LD
222,41,41,100,46.0,5.0,1251.0,LD
0,1,65,109,15.0,14.0,1056.5,LD
66,0,6,68,27.0,27.0,109.5,LD
51,22,51,66,4.0,18.0,1690.5,LD
101,21,54,148,85.0,64.0,1618.5,LD
0,0,39,89,5.0,5.0,552.5,LD
238,75,39,63,69.0,6.0,826.0,LD
196,74,32,53,58.0,16.0,501.5,LD
282,70,24,64,65.0,5.0,390.5,LD
79,48,42,72,51.0,3.0,961.0,LD
126,17,39,110,58.0,41.0,1649.0,LD
0,0,74,113,44.0,44.0,1273.0,LD
269,54,11,57,25.0,29.0,186.0,LD
244,52,21,58,24.0,28.0,378.0,LD
299,48,39,67,29.0,19.0,864.0,LD
160,44,49,71,29.0,15.0,1213.0,LD
357,39,34,133,86.0,47.0,892.0,LD
108,37,42,71,22.0,15.0,621.0,LD
71,35,38,62,11.0,24.0,842.5,LD
0,0,50,99,13.0,13.0,1056.0,LD
249,62,52,111,87.0,25.0,938.5,LD
219,62,36,53,29.0,33.0,1201.0,LD
82,49,32,48,11.0,38.0,994.5,LD
122,11,99,103,28.0,17.0,2427.5,LD
0,8,46,86,8.0,0.0,597.5,LD
50,0,15,94,8.0,8.0,450.5,LD
0,0,56,114,57.0,57.0,834.0,LD
104,16,27,63,38.0,22.0,532.5,LD
62,7,42,69,35.0,28.0,515.5,LD
0,0,47,82,41.0,41.0,867.5,LD
83,68,35,115,92.0,24.0,754.0,LD
0,55,37,64,28.0,27.0,628.5,LD
63,31,2,83,23.0,8.0,68.0,LD
66,0,5,43,48.0,48.0,47.0,LD
0,0,41,128,64.0,64.0,1464.0,LD
0,0,48,130,65.0,65.0,1101.0,LD
56,62,3,57,26.0,36.0,68.0,LD
151,59,41,128,94.0,35.0,1139.5,LD
93,58,51,69,34.0,24.0,1222.5,LD
0,3,59,119,29.0,26.0,1392.0,LD
59,0,8,87,6.0,6.0,96.0,LD
94,52,41,58,51.0,1.0,1086.0,LD
215,51,42,64,56.0,5.0,1202.0,LD
170,45,27,65,51.0,6.0,761.5,LD
279,37,54,82,60.0,23.0,1010.0,LD
160,21,5,88,50.0,29.0,266.0,LD
231,9,9,23,27.0,36.0,108.5,LD
0,1,58,110,52.0,51.0,1307.5,LD
168,0,6,37,22.0,22.0,47.0,LD
0,79,37,38,58.0,21.0,417.5,LD
396,63,41,55,59.0,4.0,862.0,LD
278,59,40,54,54.0,5.0,894.0,LD
347,51,37,66,58.0,7.0,672.0,LD
199,38,74,77,56.0,18.0,1751.0,LD
127,38,39,69,48.0,10.0,1127.0,LD
72,37,48,69,47.0,10.0,1361.0,LD
9,0,55,96,37.0,37.0,795.5,LD
59,62,40,45,47.0,15.0,645.5,LD
125,54,46,67,61.0,7.0,410.0,LD
0,0,36,115,55.0,55.0,1006.0,LD
120,90,29,51,65.0,25.0,399.5,LD
216,80,20,57,61.0,19.0,331.5,LD
168,80,39,54,58.0,22.0,749.5,LD
74,78,39,50,52.0,26.0,622.5,LD
235,77,44,65,66.0,11.0,722.0,LD
0,0,60,153,77.0,77.0,1792.5,LD
0,0,81,116,58.0,58.0,3042.5,LD
300,77,8,7,15.0,62.0,33.5,LD
252,77,43,62,70.0,7.0,825.0,LD
298,71,60,67,69.0,2.0,671.5,LD
88,38,83,93,62.0,24.0,2868.5,LD
58,38,28,81,50.0,12.0,572.5,LD
0,36,40,82,49.0,13.0,908.5,LD
184,0,39,136,67.0,67.0,2324.0,LD
0,48,73,65,57.0,9.0,1855.5,LD
144,44,36,55,43.0,1.0,994.5,LD
186,39,39,70,53.0,14.0,552.5,LD
93,0,39,105,49.0,49.0,1628.5,LD
0,39,35,45,28.0,11.0,880.5,LD
95,35,55,77,56.0,21.0,839.5,LD
58,32,41,56,32.0,0.0,933.5,LD
