curvature,target_class
0,0
0.003184069,0
0.044497357,0
0.005664756,0
0.020931255,0
0.20365914,0
0.042115444,0
0.085529176,0
0.017540923,0
0.009782809,0
0.056046508,0
0.005639541,0
0.056361419,0
0.036874057,0
0.001226,0
0.02990761,0
0.193216689,0
0.022502609,0
0.119748327,0
0.02479983,0
0.02096386,0
0.021457548,0
0.091142604,0
0.002187545,0
0.011689283,0
0.008543315,0
0.033103093,0
0,0
0.015589014,0
0.020280905,0
0.004316901,0
0.004554333,0
0.003791832,0
0,0
0.002386177,0
0.006758851,0
0.007964779,0
0.022215515,0
0.00092828,0
0.018712399,0
0.003041425,0
0.300090923,0
0.003635978,0
0.004721921,0
0.554622021,0
0.004724633,0
0.009479907,0
0.003387881,0
0.182699845,0
0.398228374,0
0.020269967,0
0.005331669,0
0.005126947,0
0.001242637,0
0.297755025,0
0.019497677,0
0.000520801,0
0.003803742,0
0.000279476,0
0.001165274,0
0.001607396,0
0.390190588,0
0.351320868,0
0.278857911,0
0.336718095,0
0.445613099,0
0.003085357,0
0.060269222,0
0.003880172,0
0.004027741,0
0.61735174,0
0.001286498,0
0.000138989,0
0.003788129,0
0.004900797,0
0.001486726,0
0.236551952,0
0.001685231,0
0.001257964,0
0.000102379,0
0.003203769,0
0.005021534,0
0.011414095,0
0.01266635,0
0.000698541,0
0.01751975,0
0.007527821,0
0.000702925,0
0.018350402,0
0.457299564,0
0.010592588,0
0.278416756,0
0.006944848,0
0.459932566,0
0.007144812,0
0.013748478,0
0.015942865,0
0.2556294,0
0.029211894,0
0.006549878,0
0.002982375,0
0.004881788,0
0.005873363,0
0.02332082,0
0.000348111,0
0.004599294,0
0.006575134,0
0.010491841,0
0.002475504,0
0.00102626,0
0.021677501,0
0,0
0,0
0.009777381,0
0.187840563,0
0.129311521,0
0.00171444,0
0.011485007,0
0.00839263,0
0.360869878,0
0.002009477,0
0.007855032,0
0.015734034,0
0.004148123,0
0.002386247,0
0.007073816,0
0.002837013,0
0.016815315,0
0.005550183,0
0.078825629,0
0.008946758,0
0,0
0.002043778,0
0.290980913,0
0.081083786,0
0.007919358,0
0.122445047,0
0.011339081,0
0.57985334,0
0.003534513,0
0.021098409,0
0.609656678,0
0.037203981,0
0.011211909,0
0.01800861,0
0.004369762,0
0.025767458,0
0.058107655,0
0.001310634,0
0.001294824,0
0.00765125,0
0.004270335,0
0,0
0.001589809,0
0.000814693,0
0.010458034,0
0,0
0.002061115,0
0.014532448,0
0.016088377,0
0.006641729,0
0.006507494,0
0.005658883,0
0.005469321,0
0.014819207,0
0.123117029,0
0.014072814,0
0.426448355,0
0.448883901,0
0.443663722,0
0.006913619,0
0.205290284,0
0.002998703,0
0.110503371,0
0.37705465,0
0.007878702,0
0.004037962,0
0.238091408,0
0.022703819,0
0.004810389,0
0.00081224,0
0.002775044,0
0.006495956,0
0.010050522,0
0.311413803,0
0.01277385,0
0.006054081,0
0.011920532,0
0.019027519,0
0.018530797,0
0.006423124,0
0.000562787,0
0.013659305,0
0.038733997,0
0.016731055,0
0.184774765,0
0.007253514,0
0.027306227,0
0.002356109,0
0.004083343,0
0,0
0.019968171,0
0.009416391,0
0.000200418,0
0.008848118,0
0.001886381,0
0.001047183,0
0.004641705,0
0.014595589,0
0.010942467,0
0.005134753,0
0.452781591,0
0.000503666,0
0.155151805,0
0.002706913,0
0,0
0.080011747,0
0.002658645,0
0.018516289,0
0.002237759,0
0.001177855,0
0.004413457,0
0.005694525,0
0.004255155,0
0.001570199,0
0.237527659,0
0.008307391,0
0.005211048,0
0.005298473,0
0.025766933,0
0.00161261,0
0.004887743,0
0.013365865,0
0.074339544,0
0.041766974,0
0.002937585,0
0.004928037,0
0.008550026,0
0.006743051,0
0.00857468,0
0.005888503,0
0.014218753,0
0.009531987,0
0.002122148,0
0.007174192,0
0.157872987,0
0.009023118,0
0.017567026,0
0,0
0.011147383,0
0.005657493,0
0.011036132,0
0.367652383,0
0.010185149,0
0.006083904,0
0.0168588,0
0.010674187,0
0.297436404,0
0.006323493,0
0.003557916,0
0.005904163,0
0.033977543,0
0.011780768,0
