stroke_width,target_class
2.236067977,0
19.92485885,0
12.41640786,0
12,0
42.42640687,0
8.062257748,0
57.72347876,0
57.46543744,0
11.18033989,0
7.544003745,0
4.123105626,0
61.03277808,0
5.099019514,0
27.86173938,0
21.37755833,0
9.055385138,0
23.76972865,0
28.8444102,0
35.44009029,0
9.848857802,0
19.10497317,0
36.22154055,0
38.60051813,0
25.45584412,0
33.83784863,0
6.708203932,0
9.433981132,0
15.29705854,0
2.708892063,0
2.585786438,0
18.11077028,0
10.40175425,0
10.40175425,0
23.42527113,0
22.99889767,0
22.47220505,0
27.80287755,0
5.585786438,0
17.79515915,0
16.86796226,0
39.11521443,0
28.44292531,0
29.61418579,0
36.40054945,0
40.45985665,0
26.2488095,0
21.63330765,0
28.80243893,0
29.62153435,0
41.30375286,0
46.64761516,0
12.04159458,0
6.708203932,0
24.62563715,0
25.51363298,0
36.05551275,0
0.828427125,0
0.585786438,0
0.828427125,0
0.585786438,0
4.385164807,0
7.641171576,0
7.585786438,0
7.280109889,0
40.18319921,0
40.21390258,0
18.71039824,0
18.28350204,0
32.38826948,0
32.01562119,0
24.69817807,0
4.472135955,0
0.414213562,0
5,0
0.585786438,0
13.34166406,0
24.69817807,0
19.77540654,0
19.88061302,0
26.2488095,0
41.78516483,0
31.6227766,0
19.31320792,0
31.144823,0
22.20360331,0
4.472135955,0
20.1246118,0
32.01562119,0
24.33459253,0
24.2488095,0
3.123105626,0
3.123105626,0
68.8839604,0
29.15475947,0
42.20189569,0
31.78049716,0
10.81665383,0
5.099019514,0
17.80449381,0
63.78871374,0
13.89244399,0
20.51828453,0
31.06444913,0
9.770329614,0
9.440306509,0
22.8035085,0
24,0
23.96150997,0
55.08175742,0
34.71310992,0
94.9210198,0
26.41968963,0
1.236067977,0
3,0
26.07397274,0
20.02498439,0
17.26732813,0
17.43908891,0
47.5394573,0
10,0
23.34523506,0
41.40048309,0
36.60051813,0
36.09146782,0
33.83784863,0
33.83784863,0
12.60147051,0
12.34166406,0
14.85193951,0
13.76305461,0
35.11409973,0
4.385164807,0
3.123105626,0
36.79673899,0
22.8035085,0
17.72004515,0
28.63564213,0
20.09975124,0
26.2488095,0
25.07987241,0
1.748064098,0
2.16227766,0
36.24913792,0
12.20655562,0
17.80449381,0
18.38477631,0
29.73213749,0
20.24845673,0
23.53720459,0
46.23851209,0
67.44627492,0
21.09502311,0
11.40175425,0
15.62049935,0
18.38477631,0
7.071067812,0
20.09975124,0
19.31320792,0
39.20459157,0
12.80624847,0
10.44030651,0
3,0
5.32455532,0
2.236067977,0
5.656854249,0
18.83424317,0
18.6977156,0
55.36244214,0
33.01514804,0
12.16552506,0
66.88796603,0
8.602325267,0
26.2488095,0
11.16552506,0
18.02775638,0
20.94646621,0
20.12644567,0
18.97366596,0
38.94868419,0
12.60147051,0
12.60147051,0
18.58578644,0
18.41648784,0
11.04536102,0
53.75872022,0
65.9241989,0
64.56004957,0
30.3644529,0
39.8246155,0
40.16217126,0
1.828427125,0
51.623638,0
48.16637832,0
39.62322551,0
40.02499219,0
18.41648784,0
18.41648784,0
35.80502758,0
28.42534081,0
31.01612484,0
32.06243908,0
14.26433752,0
13.76482306,0
24.0208243,0
35.05401463,0
34.77744307,0
32.47704194,0
22.02271555,0
26.47640459,0
10.81665383,0
5.099019514,0
33.01514804,0
