curvature,target_class
0,0
0.007258228,0
0.682485727,0
0.716718874,0
0.001721466,0
0.013101218,0
0.209012676,0
0.196569372,0
0.353732893,0
0.716579581,0
0,0
0.001157699,0
0.027662526,0
0.021306506,0
0.021606332,0
0.025566723,0
0.013722998,0
0.013339039,0
0.003099221,0
0.022243283,0
0.005269942,0
0,0
0.002239047,0
0.006743948,0
0.017739132,0
0,0
0.061948221,0
0,0
0.750200159,0
0.808518143,0
0.001096378,0
0.73461532,0
0.729883591,0
0.312130581,0
0.295071481,0
0.022276677,0
0.020798631,0
0.615151515,0
0.875507482,0
0.85493814,0
0.017393958,0
0.006673581,0
0.003661625,0
0.002382757,0
0.003885298,0
0.00588648,0
0.021659327,0
0.220625678,0
0.222994191,0
0,0
0.004823464,0
0.008072112,0
0.082987578,0
0.855858598,0
0.866868957,0
0.003102322,0
0.785398163,0
0.78539819,0
0.785398163,0
0.78539819,0
0.024113369,0
0.492431512,0
0.520357497,0
0.041631117,0
0.223802309,0
0.213590101,0
0.541401014,0
0.51863711,0
0.00398723,0
0.010408029,0
0.002286094,0
0,0
0.539012092,0
0.18495971,0
0.78539819,0
0.016038528,0
0.004153486,0
0.559810726,0
0.552203147,0
0.011384474,0
0.006073917,0
0.020167674,0
0.009795844,0
0.003116042,0
0.01122932,0
0,0
0,0
0.007512359,0
0.308154267,0
0.293450058,0
0.832318692,0
0.871464655,0
0.003951458,0
0.003492642,0
0.006986234,0
0.004673768,0
0.058832808,0
0,0
0.017525999,0
0.003035415,0
0.016620503,0
0.005450155,0
0.010944255,0
0.519515709,0
0.565154668,0
0.006911964,0
0.294806742,0
0.26738022,0
0.010318618,0
0.00398959,0
0.000440243,0
0.007536293,0
0.214342903,0
0,0
0.002652615,0
0,0
0.875856974,0
0.873770376,0
0.00192452,0
0.026224694,0
0.016589452,0
0.00761374,0
0.255398051,0
0.249920099,0
0.001897499,0
0.00842943,0
0.557996903,0
0.577999096,0
0.9172214,0
0.908216394,0
0.002029655,0
0.741141627,0
0.871464655,0
0.004361408,0
0.010539852,0
0.007389366,0
0.007479669,0
0.004369363,0
0.016096083,0
0.018668634,0
0.808518143,0
0.839954455,0
0.012031903,0
0.007798461,0
0.003724036,0
0.001165851,0
0.001190903,0
0.000879637,0
0.012205866,0
0.004111986,0
0.007691308,0
0.005517629,0
0.008795276,0
0.014529625,0
0,0
0,0
0.007980809,0
0.001457884,0
0.002785503,0
0.018523946,0
0.011804415,0
0,0
0.067376512,0
0,0
0.082987577,0
0.817447211,0
0.834728596,0
0.003747725,0
0.000531572,0
0,0
0.002469672,0
0.15271899,0
0.001377098,0
0.00912357,0
0.010497137,0
0.564966489,0
0.573584674,0
0.00886898,0
0.008213728,0
0.808093351,0
0.832318692,0
0.886706987,0
0.870741225,0
0,0
