x,y,w,h,distance,class
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,1,81,94,0,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,0,33,46,37,LD
,,,,,
0,0,33,45,19,LD
38,0,27,49,17,LD
0,0,37,42,1,LD
0,0,10,33,13,LD
0,0,43,33,9,LD
0,0,45,48,24,LD
,,,,,
,,,,,
,,,,,
,,,,,
31,0,36,66,28,LD
0,0,34,43,14,LD
,,,,,
0,0,21,42,29,LD
,,,,,
,,,,,
,,,,,
,,,,,
21,0,71,49,0,LD
,,,,,
47,0,51,24,14,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
24,0,27,43,14,LD
,,,,,
,,,,,
0,0,27,54,0,LD
64,0,30,48,0,LD
,,,,,
,,,,,
,,,,,
,,,,,
0,0,19,44,0,LD
,,,,,
,,,,,
,,,,,
0,0,28,51,0,LD
37,0,25,20,64,LD
0,0,30,45,0,LD
0,0,26,42,5,LD
30,0,22,51,0,LD
,,,,,
0,0,24,45,2,LD
56,0,34,36,0,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,0,5,35,6,LD
,,,,,
,,,,,
,,,,,
,,,,,
0,0,48,45,14,LD
0,0,69,59,0,LD
,,,,,
,,,,,
,,,,,
0,0,35,39,1,LD
,,,,,
0,0,34,46,0,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,0,26,35,0,LD
57,0,29,66,0,LD
42,0,37,43,0,LD
96,0,22,40,13,LD
,,,,,
0,0,50,83,0,LD
,,,,,
0,0,31,59,0,LD
0,0,4,46,3,LD
0,0,31,63,0,LD
,,,,,
0,1,25,67,0,LD
,,,,,
,,,,,
,,,,,
0,0,52,76,0,LD
,,,,,
37,0,28,47,0,LD
122,0,38,57,1,LD
0,0,35,52,7,LD
,,,,,
,,,,,
,,,,,
,,,,,
331,0,27,46,4,LD
91,0,34,53,1,LD
,,,,,
,,,,,
,,,,,
,,,,,
94,0,32,45,1,LD
,,,,,
,,,,,
130,0,36,59,6,LD
37,0,35,67,1,LD
0,0,20,55,6,LD
36,0,29,84,0,LD
35,0,29,47,5,LD
0,0,35,54,0,LD
15,0,38,43,36,LD
0,0,22,89,34,LD
123,0,23,50,12,LD
107,0,45,51,19,LD
0,0,23,59,0,LD
0,0,26,37,3,LD
27,0,26,67,5,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
24,0,35,38,4,LD
,,,,,
,,,,,
79,0,40,63,2,LD
,,,,,
,,,,,
,,,,,
105,0,7,43,2,LD
,,,,,
,,,,,
139,0,10,34,24,LD
14,0,29,28,1,LD
,,,,,
,,,,,
78,0,29,59,4,LD
115,0,25,42,8,LD
0,0,47,78,0,LD
0,0,22,62,7,LD
31,0,33,52,1,LD
0,0,31,66,0,LD
0,0,46,61,0,LD
,,,,,
,,,,,
