density,target_class
104.625,1
154.5585938,1
59.47265625,1
25.03125,1
68.140625,1
78.4921875,1
158.078125,1
8.56640625,1
117.140625,1
50.63671875,1
57.234375,1
70.05078125,1
35.359375,1
53.4921875,1
74.6796875,1
80.4296875,1
195.25,1
120.9375,1
59.87109375,1
1028.765625,1
250.6875,1
103.6445313,1
166.03125,1
264.046875,1
204.7617188,1
25.828125,1
42.6015625,1
85.78125,1
21.66796875,1
25.390625,1
141.7109375,1
155.7226563,1
202.3515625,1
81.76953125,1
167.9414063,1
37.609375,1
195.46875,1
100.1992188,1
94.5,1
79.109375,1
27.34375,1
13.3671875,1
9.76953125,1
32.64453125,1
19.12890625,1
10.15625,1
45.53125,1
19.1953125,1
8.48828125,1
32.90625,1
30.28125,1
55.09765625,1
27.71484375,1
33.3046875,1
10.75,1
34.58984375,1
36.0546875,1
28.41796875,1
53.515625,1
13.078125,1
12.94921875,1
31.0078125,1
35.21875,1
11.7578125,1
22.84375,1
20.5078125,1
20.5,1
23.203125,1
35.8359375,1
25.9140625,1
39.5,1
48.7109375,1
58.390625,1
33,1
32.8125,1
17.47265625,1
20.1171875,1
31.9921875,1
13.58984375,1
58.9375,1
74.9609375,1
36.65625,1
29.2578125,1
18.26171875,1
10.15625,1
45.1640625,1
75.19921875,1
73.125,1
12.55078125,1
83.203125,1
146.8125,1
126.1210938,1
103.3203125,1
40.734375,1
68.25390625,1
8.96484375,1
102.09375,1
70.875,1
156.40625,1
68.859375,1
93.328125,1
82.8125,1
109.8632813,1
230.9570313,1
123.8359375,1
25.83984375,1
59.125,1
192.2109375,1
127.6171875,1
16.96484375,1
219.375,1
104.609375,1
55.6171875,1
262.3359375,1
97.84375,1
193.5351563,1
20.51953125,1
112.625,1
372.875,1
69.5625,1
10.140625,1
267.6328125,1
203.6640625,1
144.375,1
152.2148438,1
13.7734375,1
206.71875,1
537.625,1
268.046875,1
159.7148438,1
110.3320313,1
101.0820313,1
196.4023438,1
203.71875,1
343.8398438,1
16.2265625,1
7.265625,1
333.921875,1
422.9375,1
38.2578125,1
106.3476563,1
84.6015625,1
24.609375,1
287,1
324.796875,1
155.1171875,1
106.640625,1
50.015625,1
87.7265625,1
257.3398438,1
18.04296875,1
8.3828125,1
22.546875,1
15.85546875,1
23.375,1
13.8046875,1
10.5703125,1
7.75,1
4.671875,1
11.23046875,1
36.09375,1
143.78125,1
51.828125,1
33.76953125,1
32.8046875,1
63.234375,1
30.28125,1
81.046875,1
34.734375,1
28.9453125,1
28.9453125,1
18.5,1
22.65625,1
15.44921875,1
31.796875,1
32.65625,1
26.859375,1
32.08203125,1
19.14453125,1
18.69140625,1
22.3828125,1
6.2890625,1
5.30078125,1
5.58984375,1
7.21875,1
113.203125,1
37.5546875,1
9.5390625,1
7.421875,1
8.015625,1
13.921875,1
17.0859375,1
18.3515625,1
15.1875,1
12.203125,1
9.7265625,1
4.125,1
9.765625,1
9.5234375,1
8.765625,1
10.828125,1
8.078125,1
8.1640625,1
7.4765625,1
7.421875,1
221.71875,1
20.46484375,1
16.50390625,1
19.14453125,1
23.10546875,1
17.1640625,1
17.82421875,1
12.4609375,1
11.23046875,1
13.40625,1
17.671875,1
16.6640625,1
15.36328125,1
6.31640625,1
20.671875,1
6.23046875,1
7.7265625,1
13.609375,1
5.15625,1
15.234375,1
14.82421875,1
5.4140625,1
52.2890625,1
136.0273438,1
9.84375,1
35.79296875,1
9.546875,1
20.78125,1
13.0078125,1
13.7109375,1
18.328125,1
36.38671875,1
31.0625,1
5.4453125,1
14.75,1
4.64453125,1
7.7265625,1
13.97265625,1
16.7109375,1
20.859375,1
15.44140625,1
6.34375,1
5.2734375,1
8.63671875,1
18.45703125,1
9.546875,1
67.78125,1
5.4140625,1
197.3125,1
16.59375,1
13.78125,1
4.58984375,1
206.1601563,1
43.5,1
6.890625,1
2394.335938,1
10.6015625,1
8.8515625,1
32.171875,1
178,1
8.0859375,1
277.75,1
4.0390625,1
25.59375,1
18.6328125,1
21.97265625,1
25.703125,1
11.484375,1
112.578125,1
12.67578125,1
76.953125,1
153.3671875,1
8.16796875,1
140.625,1
128.9726563,1
36.75,1
92.98828125,1
86.37890625,1
14.78125,1
85.2734375,1
165.4765625,1
105.0546875,1
19.16015625,1
86.42578125,1
61.6015625,1
57.3359375,1
101.03125,1
79.19140625,1
18.703125,1
29.109375,1
9.25,1
46.40625,1
6.4453125,1
28.3359375,1
15.6328125,1
48.09375,1
