curvature,strokewidth,density,x,y,w,h,distance,letterReversal,curvature_LogValue,strokewidth_LogValue,distance_LogValue,density_LogValue,class
0.00733506,21.55888525,1.06640625,0,0,6,38,1,0,-4.915089687,3.07078804,0,0.064294351,0
0.001033993,46.27094121,1.3125,0,0,6,47,1,0,-6.874327273,3.834514144,0,0.271933715,0
0.003347364,56.22277119,1.5859375,0,0,6,57,1,0,-5.699582109,4.029321856,0,0.461175715,0
0,59.00847397,1.640625,0,0,6,60,0,0,#NAME?,4.07768106,#NAME?,0.495077267,0
0.002561995,39.68224074,2.0234375,0,0,6,73,1,0,-5.966969027,3.680903751,0,0.704797798,0
0.375550009,35.30781527,2.15625,0,0,7,68,1,0,-0.979363637,3.564104335,0,0.768370602,1
0.00141564,15.71157388,0.84375,0,0,7,26,1,0,-6.560173553,2.754397631,0,-0.169899037,1
0.015188519,25.3179778,0.84375,0,0,7,26,1,0,-4.187215465,3.231514728,0,-0.169899037,1
0.005354689,55.60554457,2.1875,0,0,7,69,1,0,-5.229782653,4.018282919,0,0.782759339,1
0.635689148,11.44006435,1.375,0,0,7,43,1,0,-0.453045596,2.437121611,0,0.318453731,1
0.003740336,82.21921916,2.625,0,0,7,83,1,0,-5.588579832,4.409389084,0,0.965080896,1
0.002044635,75.23961722,2.40625,0,0,7,76,1,0,-6.19253599,4.320677917,0,0.878069519,1
0.009014428,17.46072138,0.9375,0,0,7,30,0,0,-4.708928874,2.859953866,#NAME?,-0.064538521,1
0.004764117,11.60489489,0.84375,0,0,7,26,1,0,-5.346643069,2.451426982,0,-0.169899037,1
0.004608777,33.64105712,1.34375,0,0,7,42,1,0,-5.37979275,3.515747259,0,0.295464213,1
0.002632429,16.98260563,1,0,0,7,31,1,0,-5.939848285,2.832189622,0,0,1
0.00528626,9.424824263,0.90625,0,0,7,28,1,0,-5.242644277,2.243347087,0,-0.098440073,1
0.001578326,20.15055204,1.21875,0,0,7,38,1,0,-6.451390487,3.003231685,0,0.197825743,1
0,35.22782991,1.1875,0,0,7,37,1,0,#NAME?,3.561836393,0,0.171850257,1
0.011021599,40.01249805,1.28125,0,0,7,41,0,0,-4.507898386,3.689191857,#NAME?,0.247836164,1
0.003693983,33.13608305,1.09375,0,0,7,34,1,0,-5.601049999,3.500622811,0,0.089612159,1
0.004745288,28.63564213,0.9375,0,0,7,29,1,0,-5.350603153,3.35465217,0,-0.064538521,1
0.00215547,42.04759208,1.375,0,0,7,43,1,0,-6.139746482,3.738802122,0,0.318453731,1
0.00477863,21.80293392,0.8125,0,0,7,26,0,0,-5.343601384,3.082044544,#NAME?,-0.207639365,1
0.001477783,44.15640064,1.53125,0,0,7,48,1,0,-6.517212287,3.787737891,0,0.426084395,1
0,50.35871325,1.625,0,0,7,51,1,0,#NAME?,3.919171658,0,0.485507816,1
0.000183055,35.03568588,1.8125,0,0,7,57,1,0,-8.605723904,3.556367139,0,0.594707108,1
0.001142395,37.21558813,1.21875,0,0,7,38,1,0,-6.774628343,3.616727709,0,0.197825743,1
0.006939448,26.47640459,0.875,0,0,7,27,1,0,-4.970533047,3.276253944,0,-0.133531393,1
0.002617702,34.36568055,1.125,0,0,7,35,1,0,-5.945458445,3.537058408,0,0.117783036,1
0.003245723,24.18677324,0.8125,0,0,7,25,1,0,-5.730417149,3.185805923,0,-0.207639365,1
0.002665332,39.12995757,1.4375,0,0,7,45,1,0,-5.927426651,3.666888352,0,0.362905494,1
0.006322601,20.9079675,1.15625,0,0,7,36,1,0,-5.063624605,3.040130306,0,0.14518201,1
0.006469987,33.24154028,1.09375,0,0,7,34,1,0,-5.04058118,3.503800307,0,0.089612159,1
0.000813341,30.10462719,1.5,0,0,7,47,1,0,-7.114360102,3.404678887,0,0.405465108,1
0.002769098,34.05877273,1.125,0,0,7,35,1,0,-5.889233644,3.528087642,0,0.117783036,1
0.000532989,34.53797507,1.1875,0,0,7,38,0,0,-7.537009772,3.542059445,#NAME?,0.171850257,1
0.010478914,21.10653542,0.8125,0,0,7,25,1,0,-4.558390231,3.049582728,0,-0.207639365,1
0.008335335,30.59411708,1,0,0,7,31,1,0,-4.787251572,3.420807738,0,0,1
0.039064503,31.09507943,2.1875,0,0,7,69,1,0,-3.242541076,3.437049589,0,0.782759339,1
0.000559047,45.09988914,1.46875,0,0,7,46,1,0,-7.48927701,3.808879788,0,0.384411699,1
0.001633627,30.52629759,1.25,0,0,7,39,1,0,-6.416952583,3.418588528,0,0.223143551,1
0.001900309,19.92485885,0.90625,0,0,7,28,1,0,-6.265738774,2.991968141,0,-0.098440073,1
0.001157705,30.10398645,1.90625,0,0,7,61,0,0,-6.761315682,3.404657603,#NAME?,0.645137961,1
0.002141388,15.15370284,0.9375,0,0,7,29,1,0,-6.146301062,2.718244914,0,-0.064538521,1
