curvature,strokewidth,density,x,y,w,h,distance,letterReversal,class
0.002933276,33.06932932,1.21875,0,0,7,38,1,,1
0.003112467,40.0487515,1.3125,0,0,7,42,0,,1
0.001182516,23.44121983,0.84375,0,0,7,26,1,,1
0.002374799,37.21558813,1.21875,0,0,7,38,1,,1
0.009337326,21.30104616,0.90625,0,0,7,29,0,,0
0.005131413,27.28427125,0.9375,0,0,7,29,1,,0
0,24.63886509,1.15625,0,0,7,37,0,,0
0.004307959,36.05551275,1.1875,0,0,7,37,1,,0
0.002493722,37.05259518,1.25,0,0,7,39,1,,0
0.000245665,22.6163576,1.34375,0,0,7,42,1,,0
0.003945326,27.11803399,1.75,0,0,7,55,1,,0
0.070225655,81.88270813,3.09375,0,0,8,87,1,0,1
0.00502495,13.12453521,0.87890625,0,0,8,24,1,0,1
0.01015501,28.86173938,1.0546875,0,0,8,29,1,0,1
0.001504067,21.37755833,0.80859375,0,0,8,22,1,0,1
0.414664538,18.8529941,1.265625,0,0,8,35,1,0,1
0.018353585,12.7321246,0.80859375,0,0,8,22,1,0,1
0.004907075,17.18307494,0.87890625,0,0,8,24,1,0,1
0.004712772,24.33105012,0.87890625,0,0,8,25,0,0,1
0.02128289,10.26818899,0.94921875,0,0,8,26,1,0,1
0.221558555,14.56923142,1.6171875,0,0,8,46,0,0,1
0.030163235,11.09750185,0.80859375,0,0,8,22,1,0,1
0.006404128,19.35496013,0.94921875,0,0,8,26,1,0,1
0.016619488,15.95741167,1.0546875,0,0,8,29,1,0,1
0.00842142,41.09072203,1.58203125,0,0,8,45,0,0,1
0.000585235,30.60232807,1.30078125,0,0,8,37,0,0,1
0.013815074,23.34523506,0.87890625,0,0,8,24,1,0,1
0.004062905,32.24903099,1.1953125,0,0,8,33,1,0,1
0.002196152,28.14011451,1.65234375,0,0,8,46,1,0,1
0.002220785,29.69283628,1.265625,0,0,8,35,1,0,1
0.004547869,40.44749683,1.4765625,0,0,8,41,1,0,1
0.002058868,32.42394803,1.30078125,0,0,8,36,1,0,1
0.007899117,37.48332963,1.37109375,0,0,8,38,1,0,1
0.016923023,34.6931366,1.30078125,0,0,8,36,1,0,1
0,33.78533338,2.14453125,0,0,8,61,0,0,1
0.002282108,25.17935662,0.94921875,0,0,8,26,1,0,1
0.006818041,29.83286778,1.08984375,0,0,8,30,1,0,1
0.001890592,38.61901733,1.6875,0,0,8,47,1,0,1
0.020921323,27.16615541,1.01953125,0,0,8,28,1,0,1
