curvature,strokewidth,density,x,y,w,h,distance,curvature_LogValue,strokewidth_LogValue,distance_LogValue,density_LogValue,class
0.323769026,46.67046946,35.8359375,98,0,39,63,3,-1.1277249,3.843111619,1.098612289,3.578951231,1
0.371593466,44.52680742,25.9140625,46,0,37,52,10,-0.989954856,3.796091422,2.302585093,3.254785775,1
0.415999104,41.76607753,39.5,101,0,55,63,1,-0.877072173,3.732084468,0,3.676300672,1
0.222560234,70.66205981,48.7109375,0,0,143,86,0,-1.502557499,4.257908793,#NAME?,3.885903594,1
0.031595768,31.4424211,33,53,0,27,42,6,-3.454732091,3.448157972,1.791759469,3.496507561,1
0.145675675,61.63084779,32.8125,0,0,58,79,61,-1.926372532,4.121162521,4.110873864,3.49080954,1
0.000683105,40.46318782,17.47265625,0,0,61,71,0,-7.288861977,3.700392618,#NAME?,2.860637159,1
0.335587892,56.82582716,20.1171875,0,0,48,103,0,-1.091871384,4.039990926,#NAME?,3.001574549,1
0.417516871,36.46306276,31.9921875,72,0,31,60,18,-0.873430326,3.596299769,2.890371758,3.465491732,1
0.004182677,48.70547578,13.58984375,0,0,47,71,0,-5.476803807,3.885791463,#NAME?,2.609322731,1
0.339955025,28.41960554,74.9609375,174,0,26,57,38,-1.07894195,3.347079243,3.63758616,4.316967145,1
0.061182151,35.38782726,36.65625,0,0,39,50,1,-2.793899782,3.566367898,0,3.601583946,1
0.003574066,52.70522095,29.2578125,0,0,52,70,0,-5.634051396,3.96471452,#NAME?,3.376146632,1
0.005895743,31.71678449,18.26171875,35,0,48,46,9,-5.133524714,3.45684602,2.197224577,2.904806997,1
0.003066909,30.31412815,10.15625,0,0,50,50,0,-5.787085065,3.411613879,#NAME?,2.31808928,1
0.164372492,45.43991816,45.1640625,0,0,57,82,0,-1.805620134,3.816390973,#NAME?,3.810301693,1
0.253741254,39.24702453,73.125,151,0,55,64,26,-1.371440216,3.669875633,3.258096538,4.292170306,1
0.008724352,36.23581669,12.55078125,14,0,47,51,0,-4.741637083,3.590048041,#NAME?,2.529782915,1
0.327176722,29.22146276,83.203125,208,0,48,68,3,-1.11725482,3.374903465,1.098612289,4.421284907,1
0.401698341,40.00787212,146.8125,328,0,18,54,54,-0.912053868,3.689076238,3.988984047,4.989156262,1
0.314195119,41.80014538,126.1210938,24,0,10,7,76,-1.157741088,3.732899818,4.33073334,4.837242507,1
0.326877555,49.32296996,103.3203125,0,0,65,115,0,-1.118169628,3.898389895,#NAME?,4.637833993,1
0.240878308,28.07560867,40.734375,116,0,40,58,8,-1.423463419,3.334901181,2.079441542,3.707072331,1
0.002673188,49.90274666,68.25390625,119,0,52,85,16,-5.924483511,3.910076045,2.772588722,4.223234667,1
0.00637459,29.45431431,8.96484375,0,0,49,45,0,-5.055435504,3.382840395,#NAME?,2.193310678,1
0.012622546,42.73197481,16.96484375,0,0,41,101,0,-4.372270699,3.754947465,#NAME?,2.831143188,1
0.046300993,23.8152283,20.51953125,0,0,29,33,70,-3.072591871,3.170325221,4.248495242,3.021377176,1
