stroke_width,target_class
65.41635808,1
29.30211351,1
42.66928722,1
61.00261253,1
47.03284304,1
91.80998002,1
98.762341,1
44.9502841,1
85.10961169,1
41.39254938,1
47.1009554,1
37.80619884,1
94.42986816,1
39.26459795,1
29.02629759,1
36.29380793,1
68.24221567,1
57.37442696,1
42.04834829,1
31.76325571,1
56.54916872,1
36.96371814,1
38.89730068,1
49.56855043,1
62.23063149,1
60.53924347,1
53.33298494,1
45.25063691,1
37.77606452,1
22.58046503,1
35.23403436,1
77.87810989,1
55.88604477,1
27.72127768,1
21.30003773,1
19.35160269,1
10.86740623,1
36.05325263,1
35.51193122,1
30.34970639,1
45.68208851,1
22.32381535,1
50.30434573,1
55.21124619,1
37.83651461,1
43.46195622,1
15.8113883,1
55.48918937,1
97.45109974,1
72.78346698,1
63.52872713,1
81.85000191,1
49.11355872,1
33.34531831,1
42.99172953,1
15.57307894,1
65.59261796,1
32.46921619,1
50.6359556,1
11.54177746,1
63.86687359,1
78.65539374,1
15.31604108,1
17.30530988,1
44.98555342,1
14.45238298,1
35.67133391,1
14.98033012,1
17.02901424,1
19.92602794,1
19.94184625,1
16.88479625,1
17.36042487,1
67.16638202,1
15.96070253,1
32.2684056,1
16.93099077,1
19.62988326,1
25.08897233,1
21.93725515,1
15.93524387,1
33.17386636,1
22.45476005,1
22.44686291,1
26.53251324,1
84.1569279,1
23.59501809,1
37.17465476,1
46.24230817,1
11.64124952,1
25.78948272,1
37.19576149,1
46.10394078,1
29.31624606,1
42.93953954,1
25.03706928,1
40.03759448,1
18.0219096,1
47.61991848,1
35.22782991,1
16.1245155,1
42.93593032,1
23.19812654,1
25.37271307,1
24.03044323,1
22.03824329,1
66.05699227,1
21.40275124,1
22.48237618,1
26.16856633,1
18.78995702,1
53.1139013,1
13.84047479,1
56.99540595,1
35.30781527,1
26.57848163,1
53.42008836,1
63.57056368,1
78.6656545,1
35.53054016,1
46.58709894,1
51.62709027,1
57.53474723,1
69.25114471,1
52.55725971,1
34.7749264,1
64.55784626,1
51.17883515,1
75.17642773,1
42.69716576,1
59.9082632,1
35.44480401,1
49.03123222,1
79.63537135,1
61.77464431,1
38.25660451,1
40.30301299,1
40.31939422,1
45.7851527,1
62.13804553,1
45.47887267,1
82.02409289,1
19.10594231,1
39.05844838,1
81.88270813,1
42.43472254,1
24.86873037,1
87.02272434,1
37.21558813,1
47.18320271,1
40.15825039,1
24.33105012,1
56.53025631,1
49.57822102,1
30.11080235,1
96.02603814,1
69.56755657,1
71.31278121,1
69.58801795,1
54.22241143,1
65.63579928,1
46.12361225,1
25.21570139,1
66.60864508,1
41.2276405,1
41.88769113,1
31.96242506,1
28.93313081,1
29.30251865,1
89.69392399,1
54.75318435,1
30.87409716,1
48.58973358,1
41.235664,1
33.02584298,1
72.1681105,1
40.66276354,1
47.47319624,1
86.56019679,1
81.60109684,1
82.78000184,1
35.89971756,1
16.40119415,1
42.45452721,1
24.56883388,1
52.08646657,1
44.40750951,1
22.15677646,1
33.86238438,1
22.68303169,1
49.13525606,1
24.9465796,1
32.40367698,1
38.64911064,1
20.57431864,1
31.87431968,1
33.21252329,1
25.93897327,1
58.23354293,1
35.0812551,1
36.71603102,1
53.88102781,1
30.41381265,1
37.05718518,1
40.08612001,1
25.04490401,1
34.69234102,1
30.6298249,1
27.67769648,1
38.93023944,1
31.59557101,1
37.8418709,1
44.53518977,1
25.78873299,1
8.514693183,1
22.41322052,1
57.1006868,1
40.12399052,1
60.58733636,1
19.6435307,1
17.61857937,1
23.0683069,1
24.94766961,1
26.7156017,1
37.89171466,1
27.55719218,1
32.53466047,1
51.29828693,1
40.79538019,1
24.74299013,1
40.36066905,1
33.47708753,1
33.42940676,1
36.14021943,1
36.73089938,1
48.64085132,1
36.91802454,1
40.91021065,1
23.73100647,1
34.5842889,1
26.99205024,1
37.0743344,1
53.46252493,1
28.2946639,1
33.94222019,1
20.59817703,1
35.73230428,1
46.92314486,1
28.69938744,1
42.73610715,1
45.46588304,1
23.77427156,1
28.85425039,1
67.87103393,1
31.58082765,1
59.53193064,1
27.688147,1
40.62558194,1
48.70547578,1
34.56995004,1
56.30275304,1
45.10204522,1
33.96953082,1
29.88794602,1
10.32842712,1
29.04882094,1
13.48803418,1
35.16770444,1
19.71460152,1
32.52335908,1
30.87936071,1
35.63774415,1
30.06659276,1
20.61552813,1
75.34873895,1
24.27095043,1
18.18292475,1
35.18251045,1
30.31412815,1
43.22261522,1
42.50081808,1
93.51079131,1
28.07432506,1
34.96047964,1
40.17458357,1
67.9429683,1
39.2876201,1
21.82254422,1
28.65581435,1
30.06247502,1
32.38900888,1
64.79324999,1
42.94026957,1
20.84059286,1
29.5745361,1
35.88177144,1
46.45292985,1
53.96777395,1
30.0081151,1
58.54424124,1
36.03695137,1
48.57144654,1
35.30633504,1
38.01700131,1
20.47091055,1
13.69599012,1
62.52667739,1
31.3943929,1
20.8062546,1
48.98016264,1
27.13051786,1
26.33678723,1
40.24323432,1
55.00086934,1
41.31670869,1
42.25486831,1
29.45431431,1
37.34161106,1
19.98714723,1
21.39672688,1
43.86561818,1
25.44563889,1
33.14604166,1
18.96460229,1
58.77868618,1
53.30953998,1
34.60353172,1
53.05401075,1
16.12918282,1
15.48757523,1
37.6266657,1
49.50354173,1
43.71266617,1
32.37651649,1
52.26751613,1
21.49076203,1
14.05091265,1
25.41521989,1
19.41648784,1
15.71157388,1
16.98552096,1
21.21922111,1
14.11187421,1
43.61083185,1
36.08314868,1
16.37334915,1
22.84731441,1
20.70530938,1
25.74382387,1
25.30691814,1
20.61552813,1
18.18319995,1
10.69183811,1
17.86796226,1
25.33869414,1
31.58404846,1
43.42282944,1
19.61552813,1
38.50271062,1
16.07106508,1
47.19751995,1
34.82101266,1
30.59549045,1
16.82411276,1
40.43844026,1
86.28441342,1
18.43908891,1
62.07902231,1
27.22714594,1
33.51494525,1
31.57530681,1
32.93460859,1
18.02775638,1
50.91168825,1
38.33561149,1
30.99517528,1
30.95522306,1
27.86136906,1
38.60051813,1
30.23837702,1
28.01785145,1
26.1331067,1
55.93856338,1
34.79043288,1
11.41366413,1
7.804563244,1
22.67037847,1
38.35287706,1
32.10876138,1
19.38175424,1
32.03091176,1
16.03127029,1
33.56291241,1
98.65252056,1
53.00943312,1
55.14084142,1
42.60772832,1
34.67668028,1
49.14712251,1
25.3179778,1
14.05324356,1
61.91803246,1
91.32140099,1
73.00684899,1
47.04637385,1
38.2233031,1
61.40032573,1
38.14899824,1
15.79108303,1
20.51104729,1
34.56170905,1
24.19485974,1
38.47638803,1
98.23441352,1
33.54682931,1
39.85599077,1
30.74457035,1
55.60554457,1
64.37430375,1
58.24946352,1
38.21136286,1
27.29705854,1
38.05259518,1
62.06791736,1
18.26824554,1
77.41755298,1
15.04447037,1
26.03662275,1
35.9241616,1
35.43409843,1
18.89412188,1
47.6053749,1
51.56192207,1
23.08679276,1
20.15564437,1
63.19501538,1
67.65555016,1
7.401201104,1
33.91799097,1
37.219988,1
20.93299662,1
31.85024988,1
32.984845,1
56.26207328,1
91.59148432,1
12.39758569,1
26.70453136,1
18.38477631,1
17.89688936,1
11.44006435,1
35.63253071,1
18.64836651,1
29.14058539,1
54.12947441,1
27.82663068,1
32.30365239,1
24.90195185,1
32.724863,1
60.24104229,1
28.09201025,1
20.05618878,1
20.32692769,1
17.72004515,1
16.18558325,1
26.23928353,1
34.4818793,1
41.53790623,1
10.54400375,1
13.12453521,1
64.07807737,1
33.16835685,1
18.32654878,1
54.95534241,1
16.55294536,1
32.32696836,1
50.66492677,1
45.88027899,1
48.46648326,1
29.60649341,1
23.10934398,1
19.84602616,1
31.30495168,1
35.884044,1
43.26442806,1
75.7131619,1
45.31220452,1
33.73466844,1
92.91393867,1
39.05124838,1
88.36950778,1
60.46725919,1
43.52977753,1
29.21909246,1
40.87932758,1
43.18927949,1
86.59422699,1
33.35562693,1
102.3181313,1
60.70897326,1
42.36643221,1
18.53019615,1
54.42956333,1
86.59793469,1
49.83374111,1
43.38814455,1
61.23094385,1
20.5726365,1
48.68029117,1
48.73195123,1
73.56260006,1
61.2355099,1
48.1099349,1
61.7192443,1
24.75883681,1
49.82264392,1
102.6255329,1
65.90905957,1
28.59043892,1
28.86173938,1
19.10497317,1
46.87216658,1
26.13366083,1
12.71013346,1
55.61938907,1
53.78942601,1
32.06873038,1
38.89265032,1
21.70834898,1
23.17898279,1
52.81009705,1
55.06637854,1
31.50712383,1
64.83412879,1
47.51841748,1
33.59518139,1
43.72612165,1
40.39152634,1
10.47817594,1
32.83009434,1
33.10106832,1
24.69817807,1
15.8113883,1
59.11348532,1
49.44410689,1
24.60081838,1
80.14445828,1
42.00793305,1
11.72516416,1
42.32542442,1
71.15337389,1
49.36598019,1
50.1951405,1
37.30785997,1
36.66438814,1
38.72079366,1
45.0418428,1
59.24435565,1
28.5552786,1
42.26634825,1
47.07656371,1
41.83804359,1
67.3364202,1
59.53990259,1
28.3323396,1
22.93043584,1
46.77652442,1
23.19482701,1
49.81967483,1
37.87451597,1
33.65567389,1
48.10297663,1
43.60080934,1
86.09190548,1
20.04505986,1
42.90642232,1
39.42507177,1
29.47049296,1
36.20123229,1
29.9346773,1
35.13741469,1
25.3179778,1
57.14792216,1
53.87861278,1
69.8140387,1
38.83086824,1
43.3818563,1
25.63177901,1
37.40625301,1
34.12833614,1
28.8952008,1
37.17104659,1
61.00806399,1
33.23577924,1
40.44917738,1
37.13316913,1
63.41885577,1
34.77096376,1
26.58622845,1
30.14962686,1
36.11259608,1
56.20663245,1
33.92313654,1
51.66026098,1
45.92845963,1
67.41661516,1
60.89379849,1
35.06239187,1
29.16753565,1
82.21921916,1
48.65989692,1
26.42718704,1
60.3251649,1
73.98388263,1
49.74419747,1
68.24954212,1
9.281194427,1
65.0191732,1
42.31252613,1
45.08456289,1
18.10183972,1
49.24937811,1
35.19321917,1
28.5415597,1
30.70144824,1
13.38979814,1
19.44249084,1
36.67424164,1
18.97739392,1
47.86571089,1
37.60125053,1
60.45082631,1
72.96284446,1
33.44344805,1
26.07603643,1
78.22800085,1
16.4924225,1
43.76190811,1
14.43979036,1
38.74436629,1
17.53750703,1
85.21150157,1
53.31135921,1
52.22428386,1
21.59868748,1
57.14517888,1
24.39047013,1
25.17935662,1
31.01562119,1
75.23961722,1
72.34638899,1
16.14731385,1
29.7182772,1
32.68704148,1
46.48202766,1
27.27343913,1
21.37755833,1
26.96294195,1
14.41049258,1
28.27456234,1
28.36393405,1
34.78070368,1
18.8529941,1
14.05723338,1
43.90709506,1
28.9892503,1
30.95584401,1
29.31935569,1
30.08636411,1
34.82437343,1
24.06240986,1
35.12459177,1
14.25865981,1
36.51682967,1
27.69316149,1
22.92006392,1
31.86802804,1
22.20360331,1
19.45027007,1
7.690204143,1
11.34613494,1
8.608340868,1
12.33217151,1
14.78159003,1
4.923318319,1
8.343638724,1
6.70434066,1
10.29805177,1
24.04278639,1
14.77183026,1
15.86642878,1
28.4647163,1
13.77708069,1
11.71126832,1
5.156715696,1
9.182187701,1
16.56888049,1
12.51504292,1
13.65161813,1
14.03481548,1
6.793937387,1
9.940511854,1
10.50775744,1
10.782852,1
10.66517744,1
11.64877887,1
9.663804864,1
8.081647901,1
8.151847545,1
5.969325567,1
7.285383286,1
10.05476451,1
9.366667471,1
7.471210288,1
6.917218135,1
10.19675395,1
8.466204341,1
8.434515529,1
12.7321246,1
13.13697049,1
13.99265597,1
7.363061321,1
7.82793492,1
12.28019533,1
13.08802049,1
17.74729213,1
12.6103173,1
12.54941209,1
17.21110255,1
18.43908891,1
8.191649607,1
11.93822381,1
12.79026389,1
10.62389092,1
12.11803629,1
21.63330765,1
10.28812448,1
9.980421622,1
9.310224171,1
25.49509757,1
12.2371883,1
17.62624328,1
12.7880831,1
9.946506175,1
14.26751838,1
13.5,1
12.53438178,1
10.66639196,1
11.68825977,1
10.06300421,1
9.932959458,1
18.43908891,1
5.053808051,1
10.67661909,1
10.67661909,1
