curvature,target_class
0.241528145,0
0.012035913,0
0.254838897,0
0.079331523,0
0.377556383,0
0.223266829,0
0.112197397,0
0.094129641,0
0.210357785,0
0.382563172,0
0.008469629,0
0.190129009,0
0.004095397,0
0.006587746,0
0.122711559,0
0.231324199,0
0.015273933,0
0.205194598,0
0.242414181,0
0.168706528,0
0.113790539,0
0.295401462,0
0.228134358,0
0.00291893,0
0.007013542,0
0.30113795,0
0.309292912,0
0.315844429,0
0.001908182,0
0.439776337,0
0.054107465,0
0.453801299,0
0.001568791,0
0.21088619,0
0.378958189,0
0.005750296,0
0.006435847,0
0.117622814,0
0.276985456,0
0.414703208,0
0.003788072,0
0.374473879,0
0.008421478,0
0.00271057,0
0.297206481,0
0.272885956,0
0.25011539,0
0.561621766,0
0.125136977,0
0.301645728,0
0.012844874,0
0.450259759,0
0.019009587,0
0.008718864,0
0.29310806,0
0.003800234,0
0.39675861,0
0.256428962,0
0.601145572,0
0.426548952,0
0.396421281,0
0.526341526,0
0.084557525,0
0.153705303,0
0.277083619,0
0.012422123,0
0.032802942,0
0.299739284,0
0.300309047,0
0.256119382,0
0.044077249,0
0.246210103,0
0.076067913,0
0.159928279,0
0.179756822,0
0.228068876,0
0.232619494,0
0.264041791,0
0.204677193,0
0.222074658,0
0.197122909,0
0.179517202,0
0.361066713,0
0.242748806,0
0.050654402,0
0.399760484,0
0.208673019,0
0.282334166,0
0.004258093,0
0.282333513,0
0.064465696,0
0.345002636,0
0.11948015,0
0.327169473,0
0.301201106,0
0.270381809,0
0.247636967,0
0.227136998,0
0.221394784,0
0.176078146,0
0.304755421,0
0.127404394,0
0.342790012,0
0.090444216,0
0.365159383,0
0.004937564,0
0.225141366,0
0.098297866,0
0.364233664,0
0.298520903,0
0.255204825,0
0.551953646,0
0.369492779,0
0.385219093,0
0.287729849,0
0.367117999,0
0.175487129,0
0.397837262,0
0.314256144,0
0.133834769,0
0.118589462,0
0.099451986,0
0.121893365,0
0.27261096,0
