stroke_width,target_class
24.67792857,0
24.19365492,0
19.33145459,0
32.37624308,0
17.0579156,0
17.07497714,0
25.43748066,0
29.00595562,0
23.33488363,0
20.06529351,0
23.05306526,0
17.69987028,0
32.38319789,0
17.14913372,0
21.33597103,0
29.17843107,0
36.25333223,0
27.35698466,0
25.35720058,0
20.63105621,0
21.96796157,0
34.18793,0
23.96294532,0
30.55717051,0
37.51966336,0
29.01473569,0
37.34152263,0
36.08066149,0
53.36666993,0
32.13904629,0
44.38558074,0
29.12425753,0
43.54399504,0
53.79053168,0
37.22525032,0
21.05645981,0
41.29155888,0
27.26212927,0
30.58427904,0
26.73767939,0
53.10931424,0
27.05805785,0
38.76480498,0
38.4429547,0
34.10051161,0
22.99906229,0
29.26445007,0
29.94151483,0
31.55481633,0
20.12046228,0
26.3354463,0
36.31453787,0
36.5371016,0
37.71756834,0
25.35201806,0
43.12843487,0
32.78225735,0
29.15326531,0
24.32468257,0
31.22621805,0
33.90159898,0
32.48787716,0
30.254849,0
40.51871154,0
27.915548,0
28.50227919,0
26.27083109,0
24.33044314,0
27.09745272,0
24.35958258,0
33.93837784,0
28.09530651,0
35.19365923,0
31.72089965,0
28.09708731,0
27.44324706,0
31.68662263,0
27.12151771,0
29.80542793,0
36.46927327,0
31.91168212,0
30.37675867,0
32.07187255,0
27.07387706,0
29.11367306,0
37.20919116,0
33.10668771,0
37.40622046,0
44.08850012,0
28.16682152,0
28.81759754,0
30.71474389,0
34.7528668,0
27.14128291,0
40.02930612,0
28.22656069,0
34.18862515,0
27.69337308,0
34.99019996,0
38.37168043,0
40.10519628,0
32.06253433,0
35.75836417,0
34.53997815,0
34.14471939,0
47.51397345,0
26.84439723,0
34.22917537,0
28.8972813,0
40.84823999,0
36.19803189,0
28.31530888,0
34.09919387,0
33.03000144,0
39.17612196,0
37.89381703,0
36.52972669,0
21.44424507,0
18.14662759,0
32.19307622,0
30.52416138,0
30.23609974,0
28.68629906,0
23.56331403,0
37.50736871,0
34.13023529,0
22.1587827,0
30.09408176,0
18.3288967,0
31.08253581,0
32.32318487,0
20.48015145,0
20.48673385,0
20.8751878,0
24.57798617,0
31.51055432,0
22.49650668,0
26.34162356,0
22.91143689,0
15.05968461,0
24.07874033,0
23.6735725,0
17.15878542,0
28.41125671,0
28.52063059,0
30.00172947,0
23.65912168,0
23.52340324,0
24.81632682,0
28.70898512,0
35.66003039,0
21.8469194,0
25.58051544,0
21.16820114,0
28.12224043,0
24.73546587,0
15.43652112,0
17.29671785,0
50.29181803,0
25.3576382,0
30.49595401,0
35.18200575,0
19.26782894,0
20.70877173,0
15.92602075,0
35.91327411,0
33.81722342,0
34.11494137,0
31.11321375,0
32.58185769,0
36.46210791,0
43.87802996,0
21.78751054,0
39.90169028,0
27.38335956,0
26.04052342,0
20.59275609,0
22.4277306,0
25.26643636,0
38.85688286,0
41.30568858,0
23.8210009,0
24.57777078,0
37.98756413,0
27.62263425,0
35.28672098,0
22.87992203,0
20.06326431,0
22.35790854,0
35.47108866,0
30.1206971,0
34.36378179,0
30.08865561,0
29.718593,0
31.44165404,0
20.2540602,0
21.59668934,0
30.26012212,0
18.96327498,0
15.46494583,0
24.1869789,0
21.02782205,0
25.58984393,0
17.93864221,0
23.62079445,0
22.77071906,0
28.72886956,0
33.39095085,0
24.61448718,0
21.38429598,0
28.87504376,0
23.74754691,0
27.08534928,0
33.65412044,0
25.40351242,0
27.13238603,0
25.29494309,0
24.21577838,0
24.16594307,0
28.29689682,0
33.25031663,0
28.49193139,0
24.10629597,0
42.63168473,0
29.28934018,0
24.32701927,0
28.05149886,0
23.02071104,0
26.51783634,0
32.17158173,0
23.07934582,0
28.21470963,0
25.1891909,0
35.31134975,0
27.16734905,0
21.92868134,0
17.66010841,0
20.37610417,0
38.5555262,0
30.19992249,0
17.21776972,0
19.06349719,0
24.60205644,0
18.4740766,0
31.39693558,0
23.79127848,0
15.42969291,0
11.97615922,0
21.98419019,0
15.22206848,0
15.783086,0
19.27070978,0
13.19663924,0
20.86874148,0
24.70456249,0
22.81900009,0
11.97151641,0
11.48509361,0
14.6022875,0
28.5904137,0
13.59579071,0
16.33861534,0
16.0057459,0
19.44572179,0
28.86343024,0
22.26322327,0
30.55055489,0
25.20367608,0
25.12438744,0
12.11324205,0
27.19628642,0
23.0991561,0
32.51771779,0
20.56586521,0
30.97758827,0
65.16077278,0
62.39912849,0
26.24043491,0
34.00084071,0
45.98819143,0
85.77358166,0
65.64255587,0
42.53028123,0
42.41467114,0
27.56270378,0
25.90829387,0
77.09039978,0
52.77955656,0
35.59891733,0
40.28239905,0
92.66465031,0
24.5391688,0
100.2322301,0
19.77161818,0
85.38149682,0
43.14322305,0
49.52756353,0
58.4374631,0
33.00919503,0
42.09337199,0
45.20374963,0
44.10096784,0
34.06762285,0
74.43709304,0
51.80404138,0
49.53906321,0
51.58353877,0
44.770002,0
61.70105547,0
55.04965369,0
83.6349341,0
39.12667927,0
44.29727813,0
32.38944296,0
47.9260644,0
66.54010464,0
62.44681062,0
50.51284857,0
51.68526235,0
101.3122733,0
38.76991822,0
89.28896311,0
50.76904415,0
96.95573786,0
55.92636298,0
80.71868019,0
35.22823796,0
45.26730658,0
71.01211439,0
45.0222061,0
60.36172246,0
85.62212938,0
80.54241452,0
45.46161409,0
40.41796219,0
56.4835396,0
47.89020573,0
53.52406549,0
70.64122615,0
56.13312867,0
41.25823803,0
46.49752125,1
53.09530632,1
71.3242268,1
47.1009554,1
66.02920468,1
60.9491708,1
53.4157993,1
31.76325571,1
47.51576077,1
46.07122771,1
42.58776382,1
28.93060418,1
29.71915208,1
43.73153221,1
47.19177261,1
57.16690379,1
64.44348323,1
50.8785897,1
44.8426811,1
38.97385688,1
63.11730573,1
57.72569146,1
70.77942133,1
56.34782294,1
51.66686757,1
121.7456559,1
52.67874029,1
66.73887594,1
117.1497108,1
89.41582593,1
77.82903088,1
46.0475575,1
63.41445456,1
52.70850483,1
57.95824023,1
56.63643249,1
40.01721985,1
54.31470899,1
63.69577776,1
62.66179955,1
60.52256624,1
25.24113924,1
42.45452721,1
40.7876337,1
37.71669007,1
44.98325976,1
26.77787512,1
26.91393512,1
25.93897327,1
49.14412457,1
41.09957707,1
33.08265042,1
41.87359722,1
31.91997011,1
44.38282355,1
26.6603319,1
38.96653399,1
50.3129203,1
36.68269986,1
41.96776189,1
31.46908155,1
28.42380762,1
28.72311561,1
40.36066905,1
31.11197992,1
39.40525622,1
45.23328815,1
47.78966595,1
46.67046946,1
44.52680742,1
41.76607753,1
70.66205981,1
33.35593695,1
31.4424211,1
61.63084779,1
40.46318782,1
56.82582716,1
36.46306276,1
48.70547578,1
41.99513274,1
28.41960554,1
35.38782726,1
52.70522095,1
31.71678449,1
30.31412815,1
45.43991816,1
36.6216329,1
39.24702453,1
36.23581669,1
29.22146276,1
40.00787212,1
41.80014538,1
49.32296996,1
28.07560867,1
49.90274666,1
29.45431431,1
28.90942564,1
8.359883285,1
11.752529,1
20.45594419,1
10.53908682,1
15.46562103,1
15.3613301,1
23.51128234,1
12.97897656,1
25.50612193,1
15.85196351,1
12.38115838,1
15.05990941,1
42.73197481,1
20.36648412,1
24.26095436,1
42.35394864,1
18.85629771,1
20.66626611,1
12.07761645,1
23.8152283,1
18.83308886,1
17.18158913,1
17.69604331,1
45.31220452,1
12.84532115,1
29.86991885,1
15.4974047,1
12.48519527,1
29.48031642,1
13.72727293,1
16.26762276,1
23.26302037,1
50.27426799,1
38.73394268,1
22.0596914,1
24.07683866,1
19.13104471,1
21.9389012,1
21.77072818,1
23.71860473,1
28.99891628,1
27.25330875,1
28.93342141,1
32.23265129,1
51.17998022,1
44.45692693,1
19.26887317,1
19.63895128,1
29.91400444,1
18.98815426,1
16.03703943,1
15.79727245,1
15.91248953,1
10.35873997,1
5.866340966,1
11.15515827,1
8.709640679,1
11.65426737,1
7.902614447,1
9.936104622,1
8.138473579,1
5.110361936,1
6.710015509,1
10.3956313,1
12.26258732,1
11.73351702,1
12.5704927,1
10.82517967,1
11.49484599,1
11.34653531,1
19.63139559,1
11.95982369,1
13.74770486,1
9.374632787,1
11.77719178,1
13.38965702,1
13.07836056,1
9.112425479,1
9.704478305,1
11.26954696,1
10.74295963,1
10.15129572,1
9.111226166,1
10.17279443,1
6.776805843,1
7.427771053,1
5.777104659,1
6.293999117,1
7.093287831,1
6.494990225,1
5.758208705,1
6.19763125,1
5.536043685,1
10.34871789,1
6.313444917,1
11.73015052,1
9.190146811,1
6.461217757,1
7.270023967,1
7.335674726,1
8.128933932,1
8.030527156,1
6.572617646,1
8.366996264,1
9.095813394,1
6.893896059,1
6.505069926,1
5.995166452,1
10.63156746,1
10.07645404,1
10.09493764,1
9.115864525,1
7.253427097,1
7.53082665,1
8.684000306,1
12.96067753,1
16.28265854,1
10.54078325,1
11.60844281,1
7.921625112,1
9.121275059,1
4.799127853,1
17.44672567,1
7.868799623,1
13.73600792,1
53.07420853,1
8.693632024,1
12.62326264,1
12.16968334,1
4.071216412,1
30.12441883,1
23.29335258,1
20.95197681,1
12.51662782,1
24.18234518,1
32.16213365,1
13.24694134,1
18.73713942,1
36.1592416,1
15.85519497,1
8.13418609,1
7.134782491,1
6.038602402,1
13.92597445,1
26.41540109,1
10.94259586,1
10.17109089,1
13.83978344,1
11.78034204,1
4.899577558,1
3.859285646,1
5.923570405,1
3.643532063,1
8.066785542,1
14.28036465,1
8.072548775,1
6.968171571,1
21.81003664,1
30.25716555,1
22.127417,1
7.725100289,1
7.461274349,1
4.762224673,1
8.872354906,1
3.145220295,1
5.857405104,1
5.354118303,1
4.661020588,1
6.386986873,1
13.6441673,1
3.750981717,1
49.17229673,1
61.33711313,1
34.96419038,1
66.37572275,1
8.910994641,1
22.76874089,1
42.24249379,1
10.09543235,1
52.31647385,1
12.97375092,1
13.92186533,1
14.39929164,1
18.5132332,1
19.76040216,1
34.91630082,1
17.06185699,1
16.44580046,1
26.6059197,1
19.52571784,1
55.25608155,1
40.19177521,1
33.19184439,1
21.45272279,1
16.5079345,1
50.03893578,1
33.81739527,1
58.17162767,1
21.67150934,1
14.46516266,1
14.81869326,1
32.75041668,1
54.20037878,1
50.21784357,1
13.77431257,1
8.396298821,1
34.27056339,1
62.72218352,1
47.39799555,1
22.73519262,1
15.46335674,1
37.41866717,1
28.64106326,1
27.96117316,1
33.30966209,1
8.508256513,1
30.357726,1
15.20733399,1
101.1213934,1
18.83275629,1
17.96003249,1
70.4161791,1
46.59744668,1
38.79433365,1
11.38802361,1
14.702227,1
16.31544759,1
33.56686149,1
14.92588541,1
17.8849345,1
11.47618338,1
23.8843133,1
24.44271286,1
22.55719054,1
12.53536208,1
11.6855822,1
14.22718004,1
39.88947001,1
40.8482364,1
23.65960614,1
15.64547468,1
21.83414719,1
25.86298704,1
38.45957933,1
24.55374106,1
12.37826187,1
36.75592272,1
8.916397372,1
25.97562691,1
34.43935376,1
33.21589254,1
29.66339578,1
28.39282366,1
43.13488226,1
35.76826874,1
13.48820544,1
