curvature,strokewidth,density,x,y,w,h,distance,class
0.098297866,34.22917537,18.4765625,870,162,30,42,102,0
0.364233664,28.8972813,34.140625,1058,160,31,44,102,0
0.298520903,40.84823999,46.5390625,997,160,17,44,102,0
0.255204825,36.19803189,20.05078125,1128,104,9,45,47,0
0.551953646,28.31530888,10.984375,1196,88,39,87,73,0
0.369492779,34.09919387,11.8125,981,86,37,62,46,0
0.385219093,33.03000144,20.109375,1152,85,39,57,40,0
0.287729849,39.17612196,19.7109375,1100,85,24,72,55,0
0.367117999,37.89381703,33.46875,1035,82,39,62,42,0
0.175487129,36.52972669,20.921875,891,81,43,59,38,0
0.397837262,21.44424507,25.46484375,390,68,17,14,20,0
0.314256144,18.14662759,22.5234375,834,64,33,83,45,0
0.133834769,32.19307622,15.9921875,506,59,15,63,20,0
0.118589462,30.52416138,51.203125,662,58,64,146,102,0
0.099451986,30.23609974,15.50390625,453,54,33,68,20,0
0.121893365,28.68629906,40.1015625,1122,48,4,34,20,0
0.27261096,23.56331403,27.28515625,248,45,33,47,10,0
0.00217757,37.50736871,42.96875,256,44,64,99,41,0
0.462961243,34.13023529,24.90234375,700,41,12,9,52,0
0.276499357,22.1587827,5.4921875,405,24,2,33,45,0
0.281272121,30.09408176,48.7265625,54,21,24,45,36,0
0.082640256,18.3288967,45.9375,523,20,8,24,58,0
0.121405111,31.08253581,3.9375,926,19,38,117,34,0
0.042396699,32.32318487,24.12109375,147,17,40,58,27,0
0.198895052,20.48015145,14.109375,178,14,34,75,13,0
0.116104934,20.48673385,7.76953125,409,6,26,104,8,0
0.347506406,20.8751878,6.296875,98,4,37,73,25,0
0.00677432,24.57798617,8.88671875,545,0,130,147,45,0
0.292342966,31.51055432,6.09375,208,0,39,93,9,0
0.367127438,22.49650668,26.2734375,42,0,8,73,29,0
0.010864344,26.34162356,33.515625,0,0,9,51,51,0
0.355735139,22.91143689,27.53515625,262,93,33,47,45,0
0.165866406,15.05968461,66.5625,270,92,64,99,96,0
0.322509105,24.07874033,43.83203125,68,69,24,45,19,0
0.103736433,23.6735725,45.3515625,161,65,40,58,28,0
0.042431837,17.15878542,44.078125,192,62,34,75,42,0
0.209139183,28.41125671,4.875,112,52,37,73,30,0
0.012120361,28.52063059,12.71484375,56,47,8,74,26,0
0.126118423,30.00172947,8.203125,222,41,41,100,46,0
0.377295481,23.65912168,16.8984375,0,1,65,109,15,0
0.127991797,23.52340324,63.75,66,0,6,68,27,0
0.20226244,24.81632682,392.2851563,51,22,51,66,4,0
0.332335558,28.70898512,45.890625,101,21,54,148,85,0
0.236518353,35.66003039,46.6171875,0,0,39,89,5,0
0.078687561,21.8469194,49.2578125,238,75,39,63,69,0
0.518574219,25.58051544,14.8125,196,74,32,53,58,0
0.153351768,21.16820114,26.640625,282,70,24,64,65,0
0.274747404,28.12224043,30.01953125,79,48,42,72,51,0
0.190876688,24.73546587,70.59375,126,17,39,110,58,0
0.233801049,15.43652112,41.484375,0,0,74,113,44,0
0.223237943,17.29671785,15.9375,269,54,11,57,25,0
0.062756965,50.29181803,9.76953125,244,52,21,58,24,0
0.389683723,25.3576382,58.015625,299,48,39,67,29,0
0.345713207,30.49595401,52.125,160,44,49,71,29,0
0.01001413,35.18200575,9.5625,357,39,34,133,86,0
0.423649693,19.26782894,27.125,108,37,42,71,22,0
0.189942523,20.70877173,14.4375,71,35,38,62,11,0
0.478685189,15.92602075,15.2734375,0,0,50,99,13,0
0.028518379,35.91327411,47.4609375,249,62,52,111,87,0
0.090532891,33.81722342,43.86328125,219,62,36,53,29,0
0.200800931,34.11494137,98.40625,82,49,32,48,11,0
0.456343441,31.11321375,22.84375,122,11,99,103,28,0
0.227722027,32.58185769,49.21875,0,8,46,86,8,0
0.081958341,36.46210791,19.828125,50,0,15,94,8,0
0.003666539,43.87802996,34.78515625,0,0,56,114,57,0
0.313818891,21.78751054,18.7265625,104,16,27,63,38,0
0.006296805,39.90169028,20.7421875,62,7,42,69,35,0
0.115029096,27.38335956,22.63671875,0,0,47,82,41,0
0.52257219,26.04052342,8.4375,83,68,35,115,92,0
0.256435633,20.59275609,19.3359375,0,55,37,64,28,0
0.173303235,22.4277306,14.3984375,63,31,2,83,23,0
0.027934457,25.26643636,14.1015625,66,0,5,43,48,0
0.14775366,38.85688286,28.9453125,0,0,41,128,64,0
