x,y,w,h,Distance Bottom,Distance Top,area,Target Class
65,45,11,45,17.0,28.0,205.5,LD
310,42,45,46,15.0,27.0,483.0,LD
897,41,55,50,18.0,23.0,1061.5,LD
214,39,13,49,15.0,24.0,212.0,LD
110,38,82,52,17.0,21.0,1062.0,LD
397,37,10,50,14.0,23.0,208.0,LD
757,33,38,54,14.0,19.0,574.0,LD
374,33,10,54,14.0,19.0,240.5,LD
2,30,11,11,32.0,62.0,58.0,LD
987,28,67,59,14.0,14.0,849.5,LD
520,26,39,60,13.0,13.0,573.5,LD
849,18,51,65,10.0,8.0,760.0,LD
646,9,56,81,17.0,8.0,656.5,LD
699,7,57,94,28.0,21.0,1118.5,LD
428,5,43,82,14.0,9.0,537.0,LD
686,2,4,11,60.0,62.0,18.5,LD
587,1,46,85,13.0,12.0,584.5,LD
947,0,39,86,13.0,13.0,536.0,LD
347,104,7,11,48.0,56.0,54.5,LD
315,97,9,6,36.0,61.0,22.5,LD
272,97,7,10,40.0,57.0,47.0,LD
202,97,33,28,58.0,39.0,191.0,LD
200,97,6,7,37.0,60.0,20.5,LD
158,97,5,6,36.0,61.0,12.5,LD
142,97,8,7,37.0,60.0,20.5,LD
344,96,11,7,36.0,60.0,40.0,LD
310,87,8,5,25.0,62.0,21.5,LD
230,87,5,6,26.0,61.0,19.5,LD
199,87,6,6,26.0,61.0,16.5,LD
48,87,72,25,45.0,42.0,346.5,LD
272,86,9,7,26.0,60.0,25.0,LD
121,86,24,10,29.0,57.0,21.0,LD
55,86,6,6,25.0,61.0,12.0,LD
272,75,8,10,18.0,57.0,36.5,LD
196,75,7,10,18.0,57.0,37.5,LD
51,75,6,9,17.0,58.0,14.5,LD
347,74,8,18,25.0,49.0,80.5,LD
308,74,7,11,18.0,56.0,31.5,LD
137,74,4,10,17.0,57.0,13.0,LD
116,74,4,11,18.0,56.0,16.0,LD
71,74,4,9,16.0,58.0,11.5,LD
90,73,6,12,18.0,55.0,12.5,LD
74,60,17,12,5.0,55.0,47.0,LD
118,43,3,17,7.0,50.0,21.5,LD
194,42,9,31,6.0,36.0,150.0,LD
38,42,14,31,6.0,36.0,88.0,LD
224,41,11,44,18.0,23.0,154.0,LD
136,39,33,55,27.0,12.0,327.5,LD
272,11,7,62,6.0,5.0,189.0,LD
271,4,6,6,57.0,61.0,19.5,LD
309,3,44,70,6.0,3.0,475.0,LD
36,77,27,19,43.0,34.0,273.0,LD
232,76,28,8,31.0,45.0,90.5,LD
194,76,10,3,26.0,50.0,12.0,LD
35,67,8,7,21.0,46.0,21.5,LD
32,56,6,10,13.0,43.0,29.5,LD
0,56,19,19,22.0,34.0,93.5,LD
59,55,12,19,21.0,34.0,68.5,LD
151,46,7,23,16.0,30.0,82.0,LD
219,21,25,52,20.0,1.0,560.5,LD
86,21,16,33,1.0,20.0,158.5,LD
0,16,36,38,1.0,15.0,244.0,LD
98,11,36,63,21.0,10.0,362.0,LD
176,0,36,73,20.0,20.0,434.5,LD
145,0,12,8,45.0,45.0,49.0,LD
549,94,21,9,27.0,67.0,54.5,LD
646,87,43,55,66.0,21.0,289.0,LD
594,87,14,10,21.0,66.0,36.5,LD
546,86,8,7,17.0,69.0,26.5,LD
491,86,27,14,24.0,62.0,57.5,LD
681,77,6,6,7.0,70.0,22.5,LD
365,64,8,18,6.0,58.0,41.5,LD
473,63,19,19,6.0,57.0,67.5,LD
394,63,6,10,3.0,66.0,12.5,LD
382,54,12,7,15.0,69.0,14.5,LD
366,43,67,99,66.0,23.0,520.0,LD
670,40,17,35,1.0,41.0,208.5,LD
638,39,31,33,4.0,43.0,151.5,LD
355,37,14,25,14.0,51.0,89.0,LD
220,36,39,99,59.0,23.0,424.0,LD
156,34,10,47,5.0,29.0,130.5,LD
209,33,18,43,0.0,33.0,106.5,LD
471,32,42,30,14.0,46.0,321.0,LD
479,28,7,9,39.0,67.0,12.5,LD
0,26,87,71,21.0,5.0,322.0,LD
111,20,24,61,5.0,15.0,291.5,LD
531,18,22,64,6.0,12.0,297.0,LD
164,18,25,52,6.0,24.0,84.0,LD
40,14,24,58,4.0,18.0,128.5,LD
537,1,9,16,59.0,60.0,76.5,LD
575,0,33,83,7.0,7.0,524.0,LD
126,87,9,7,41.0,46.0,26.0,LD
95,65,8,10,22.0,43.0,30.5,LD
0,26,50,55,28.0,2.0,328.0,LD
56,20,42,57,24.0,4.0,449.0,LD
118,0,38,83,30.0,30.0,570.0,LD
4,86,15,3,34.0,52.0,15.0,LD
134,85,12,15,45.0,40.0,50.5,LD
0,23,44,59,27.0,4.0,368.0,LD
173,18,32,62,25.0,7.0,699.5,LD
233,16,58,62,23.0,7.0,937.0,LD
403,0,82,80,25.0,25.0,1228.0,LD
365,0,29,80,25.0,25.0,393.0,LD
124,0,36,81,26.0,26.0,483.0,LD
63,0,36,82,27.0,27.0,489.0,LD
64,60,23,3,24.0,36.0,22.0,LD
41,41,9,11,13.0,28.0,29.5,LD
116,0,93,64,25.0,25.0,800.0,LD
77,0,38,65,26.0,26.0,281.5,LD
80,0,8,11,28.0,28.0,22.0,LD
40,0,23,68,29.0,29.0,323.0,LD
0,0,43,53,14.0,14.0,343.5,LD
130,109,14,13,56.0,53.0,39.0,LD
145,104,18,18,56.0,48.0,84.0,LD
158,93,9,10,37.0,56.0,40.0,LD
37,69,5,7,10.0,59.0,11.5,LD
130,63,8,10,7.0,56.0,17.5,LD
0,62,169,32,28.0,34.0,474.5,LD
88,56,5,25,15.0,41.0,29.5,LD
39,56,4,6,4.0,60.0,11.0,LD
128,50,7,11,5.0,55.0,22.0,LD
157,40,9,21,5.0,45.0,110.5,LD
130,36,8,13,17.0,53.0,34.5,LD
